region,nivel,estandar,dep_tot,dep_pub,dep_sub,dep_pag,area_tot,area_urb,area_rur,gse_tot,gse_bajo,gse_medio_bajo,gse_medio,gse_medio_alto,gse_alto,gen_tot,gen_hom,gen_muj,etnia_tot,etnia_no,etnia_si,nac_tot,nac_cl,nac_ext,int_tot,int_no,int_si
LAGOS,basica,Insuficiente,39.10%,46.20%,38.40%,11.50%,39.10%,37.60%,45.20%,39.10%,55.30%,47.50%,36.70%,29.40%,14.30%,39.10%,34.70%,43.60%,39.10%,36.60%,47.80%,39.10%,39.10%,41.30%,39.10%,33.80%,75.50%
LAGOS,basica,Elemental,39.80%,37.00%,41.90%,40.60%,39.80%,40.20%,38.20%,39.80%,34.80%,37.40%,41.60%,46.20%,40.60%,39.80%,41.00%,38.60%,39.80%,40.40%,38.00%,39.80%,39.80%,39.80%,39.80%,42.60%,21.00%
LAGOS,basica,Adecuado,21.10%,16.70%,19.70%,47.90%,21.10%,22.20%,16.60%,21.10%,9.90%,15.10%,21.70%,24.40%,45.10%,21.10%,24.20%,17.90%,21.00%,23.00%,14.20%,21.10%,21.10%,19.00%,21.10%,23.60%,3.50%
LAGOS,basica,Total,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%
LGBO,basica,Insuficiente,38.90%,46.10%,37.00%,8.10%,38.90%,37.70%,43.40%,38.90%,55.20%,45.10%,38.20%,33.80%,8.10%,38.90%,33.20%,44.60%,38.90%,38.80%,45.50%,38.90%,38.70%,42.50%,38.90%,33.90%,73.50%
LGBO,basica,Elemental,37.60%,35.70%,40.80%,30.20%,37.60%,37.80%,37.00%,37.60%,31.10%,37.30%,38.50%,43.70%,30.20%,37.60%,39.10%,36.10%,37.60%,37.60%,37.90%,37.60%,37.60%,38.50%,37.60%,39.90%,21.90%
LGBO,basica,Adecuado,23.50%,18.20%,22.20%,61.70%,23.50%,24.50%,19.60%,23.50%,13.80%,17.60%,23.30%,22.40%,61.70%,23.50%,27.70%,19.30%,23.50%,23.60%,16.60%,23.50%,23.70%,19.00%,23.50%,26.20%,4.60%
LGBO,basica,Total,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%
MAG,basica,Insuficiente,36.50%,48.20%,28.90%,20.00%,36.50%,36.40%,54.50%,36.50%,36.40%,49.20%,46.20%,27.70%,20.90%,36.50%,32.70%,40.20%,36.40%,34.20%,48.90%,36.40%,35.60%,48.70%,36.40%,31.80%,77.10%
MAG,basica,Elemental,41.00%,37.40%,45.00%,42.30%,41.00%,41.00%,27.30%,41.00%,45.50%,37.10%,37.10%,46.10%,42.70%,41.00%,41.90%,40.10%,41.10%,42.10%,35.30%,41.00%,41.00%,39.80%,41.00%,43.20%,21.30%
MAG,basica,Adecuado,22.60%,14.40%,26.10%,37.70%,22.60%,22.60%,18.20%,22.60%,18.20%,13.70%,16.70%,26.10%,36.40%,22.60%,25.40%,19.80%,22.50%,23.70%,15.80%,22.60%,23.30%,11.50%,22.60%,25.00%,1.60%
MAG,basica,Total,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%
MAULE,basica,Insuficiente,36.30%,43.90%,31.60%,9.20%,36.30%,34.70%,41.80%,36.30%,52.40%,41.20%,33.70%,22.40%,9.20%,36.30%,30.40%,42.30%,36.30%,36.20%,46.20%,36.30%,36.00%,44.20%,36.30%,30.30%,73.00%
MAULE,basica,Elemental,38.80%,37.50%,40.40%,37.00%,38.80%,39.00%,38.30%,38.80%,34.20%,39.00%,40.00%,41.10%,37.00%,38.80%,40.10%,37.50%,38.80%,38.80%,36.40%,38.80%,38.90%,36.60%,38.80%,41.50%,22.50%
MAULE,basica,Adecuado,24.90%,18.70%,28.00%,53.80%,24.90%,26.40%,19.90%,24.90%,13.40%,19.80%,26.30%,36.40%,53.80%,24.90%,29.60%,20.20%,24.90%,25.00%,17.40%,24.90%,25.10%,19.20%,24.90%,28.30%,4.40%
MAULE,basica,Total,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%
NUBLE,basica,Insuficiente,35.90%,41.10%,32.60%,13.30%,35.90%,34.20%,43.70%,35.90%,49.50%,42.00%,31.30%,30.00%,14.20%,35.90%,31.60%,40.40%,35.90%,36.00%,31.80%,35.90%,35.90%,36.20%,35.90%,29.00%,70.20%
NUBLE,basica,Elemental,38.90%,36.80%,40.00%,52.00%,38.90%,39.50%,35.60%,38.90%,32.30%,38.40%,39.90%,40.70%,43.00%,38.90%,40.10%,37.50%,38.80%,38.70%,50.00%,38.80%,38.80%,40.20%,38.80%,41.70%,24.40%
NUBLE,basica,Adecuado,25.30%,22.10%,27.30%,34.70%,25.30%,26.20%,20.70%,25.30%,18.10%,19.60%,28.80%,29.30%,42.70%,25.30%,28.30%,22.10%,25.30%,25.30%,18.20%,25.30%,25.30%,23.60%,25.30%,29.20%,5.40%
NUBLE,basica,Total,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%
RIOS,basica,Insuficiente,41.90%,46.30%,42.20%,10.00%,41.90%,38.90%,53.40%,41.90%,56.10%,50.90%,38.30%,33.40%,14.50%,41.90%,35.50%,48.40%,41.90%,39.60%,51.60%,41.90%,42.00%,33.90%,41.90%,34.90%,80.50%
RIOS,basica,Elemental,38.20%,37.40%,40.00%,29.50%,38.20%,39.50%,33.60%,38.20%,34.80%,36.80%,39.50%,45.00%,32.50%,38.20%,40.50%,35.90%,38.20%,39.20%,34.00%,38.20%,38.30%,37.10%,38.20%,42.00%,17.80%
RIOS,basica,Adecuado,19.80%,16.40%,17.80%,60.50%,19.80%,21.70%,13.00%,19.80%,9.20%,12.30%,22.20%,21.60%,53.00%,19.80%,23.90%,15.70%,19.80%,21.10%,14.40%,19.80%,19.70%,29.00%,19.80%,23.20%,1.70%
RIOS,basica,Total,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%
RM,basica,Insuficiente,35.30%,46.90%,37.10%,11.80%,35.30%,35.00%,44.10%,35.30%,58.20%,48.30%,40.20%,27.50%,12.20%,35.30%,30.60%,40.10%,35.30%,35.00%,43.80%,35.20%,34.30%,43.40%,35.20%,31.80%,76.80%
RM,basica,Elemental,37.60%,35.30%,39.10%,35.20%,37.60%,37.50%,39.20%,37.60%,30.80%,35.50%,38.70%,41.10%,35.80%,37.60%,38.30%,36.90%,37.60%,37.60%,36.60%,37.60%,37.90%,35.20%,37.60%,39.10%,19.30%
RM,basica,Adecuado,27.20%,17.70%,23.80%,53.00%,27.20%,27.50%,16.70%,27.20%,11.00%,16.20%,21.10%,31.40%,52.00%,27.20%,31.20%,23.10%,27.20%,27.40%,19.60%,27.20%,27.90%,21.50%,27.20%,29.10%,3.90%
RM,basica,Total,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%
TPCA,basica,Insuficiente,44.50%,54.10%,43.60%,15.20%,44.50%,44.20%,46.00%,44.50%,62.00%,51.90%,45.00%,32.20%,15.20%,44.50%,40.00%,49.10%,44.30%,44.90%,41.40%,44.40%,41.50%,58.90%,44.40%,41.30%,82.80%
TPCA,basica,Elemental,36.60%,33.90%,37.50%,36.90%,36.60%,36.10%,38.90%,36.60%,26.30%,33.80%,38.00%,43.20%,36.90%,36.60%,38.10%,35.00%,36.70%,36.10%,39.90%,36.60%,38.30%,28.50%,36.60%,38.30%,15.90%
TPCA,basica,Adecuado,18.90%,12.00%,18.90%,47.90%,18.90%,19.70%,15.10%,18.90%,11.70%,14.20%,17.00%,24.60%,47.90%,18.90%,21.90%,15.90%,19.00%,19.10%,18.70%,19.00%,20.20%,12.60%,19.00%,20.40%,1.30%
TPCA,basica,Total,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%
VALPO,basica,Insuficiente,41.70%,52.00%,40.90%,17.00%,41.70%,41.30%,49.20%,41.70%,62.40%,54.20%,43.70%,31.00%,16.70%,41.70%,37.10%,46.30%,41.70%,41.70%,43.80%,41.70%,41.30%,49.80%,41.70%,37.50%,79.70%
VALPO,basica,Elemental,38.30%,34.50%,40.40%,38.30%,38.30%,38.40%,37.40%,38.30%,29.60%,33.80%,39.20%,44.30%,38.30%,38.30%,39.80%,36.90%,38.30%,38.30%,39.50%,38.30%,38.50%,34.90%,38.30%,40.70%,17.10%
VALPO,basica,Adecuado,20.00%,13.50%,18.70%,44.70%,20.00%,20.30%,13.40%,20.00%,8.00%,12.00%,17.10%,24.70%,45.00%,20.00%,23.10%,16.90%,20.00%,20.00%,16.70%,20.00%,20.20%,15.30%,20.00%,21.80%,3.30%
VALPO,basica,Total,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%
