comuna,nivel,estandar,dep_tot,dep_pub,dep_sub,dep_pag,area_tot,area_urb,area_rur,gse_tot,gse_bajo,gse_medio_bajo,gse_medio,gse_medio_alto,gse_alto,gen_tot,gen_hom,gen_muj,etnia_tot,etnia_no,etnia_si,nac_tot,nac_cl,nac_ext,int_tot,int_no,int_si
SAN NICOLÁS,basica,Adecuado,62.4%,62.4%,0.0%,0.0%,62.4%,72.3%,41.7%,62.4%,30.0%,52.0%,71.2%,0.0%,0.0%,62.4%,73.1%,53.7%,62.4%,62.6%,50.0%,62.4%,62.1%,75.0%,62.4%,68.5%,27.3%
SAN NICOLÁS,basica,Total,100.0%,100.0%,0.0%,0.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,0.0%,0.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
SAN PABLO,basica,Insuficiente,48.4%,51.2%,46.2%,0.0%,48.4%,36.8%,65.8%,48.4%,64.7%,55.0%,34.2%,0.0%,0.0%,48.4%,56.3%,40.4%,48.4%,50.9%,45.2%,48.4%,48.9%,33.3%,48.4%,43.8%,73.3%
SAN PABLO,basica,Elemental,40.0%,34.9%,44.2%,0.0%,40.0%,47.4%,28.9%,40.0%,35.3%,30.0%,52.6%,0.0%,0.0%,40.0%,33.3%,46.8%,40.0%,37.7%,42.9%,40.0%,40.2%,33.3%,40.0%,42.5%,26.7%
SAN PABLO,basica,Adecuado,11.6%,14.0%,9.6%,0.0%,11.6%,15.8%,5.3%,11.6%,0.0%,15.0%,13.2%,0.0%,0.0%,11.6%,10.4%,12.8%,11.6%,11.3%,11.9%,11.6%,10.9%,33.3%,11.6%,13.8%,0.0%
SAN PABLO,basica,Total,100.0%,100.0%,100.0%,0.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,0.0%,0.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
SAN PEDRO,basica,Insuficiente,52.2%,52.2%,0.0%,0.0%,52.2%,0.0%,52.2%,52.2%,57.1%,51.2%,75.0%,0.0%,0.0%,52.2%,45.2%,60.7%,53.0%,52.9%,54.5%,52.6%,50.0%,64.0%,52.6%,43.0%,92.3%
SAN PEDRO,basica,Elemental,35.8%,35.8%,0.0%,0.0%,35.8%,0.0%,35.8%,35.8%,42.9%,35.8%,25.0%,0.0%,0.0%,35.8%,42.5%,27.9%,34.8%,35.5%,27.3%,35.3%,38.9%,20.0%,35.3%,42.1%,7.7%
SAN PEDRO,basica,Adecuado,11.9%,11.9%,0.0%,0.0%,11.9%,0.0%,11.9%,11.9%,0.0%,13.0%,0.0%,0.0%,0.0%,11.9%,12.3%,11.5%,12.1%,11.6%,18.2%,12.0%,11.1%,16.0%,12.0%,15.0%,0.0%
SAN PEDRO,basica,Total,100.0%,100.0%,0.0%,0.0%,100.0%,0.0%,100.0%,100.0%,100.0%,100.0%,100.0%,0.0%,0.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
SAN PEDRO DE ATACAMA,basica,Insuficiente,46.0%,46.0%,0.0%,0.0%,46.0%,47.2%,41.4%,46.0%,0.0%,47.2%,47.6%,25.0%,0.0%,46.0%,48.0%,43.5%,46.3%,45.8%,46.8%,46.0%,39.6%,63.9%,46.0%,43.4%,66.7%
SAN PEDRO DE ATACAMA,basica,Elemental,41.6%,41.6%,0.0%,0.0%,41.6%,38.9%,51.7%,41.6%,0.0%,38.9%,47.6%,62.5%,0.0%,41.6%,40.0%,43.5%,41.9%,45.8%,39.0%,41.6%,44.6%,33.3%,41.6%,43.4%,26.7%
SAN PEDRO DE ATACAMA,basica,Adecuado,12.4%,12.4%,0.0%,0.0%,12.4%,13.9%,6.9%,12.4%,0.0%,13.9%,4.8%,12.5%,0.0%,12.4%,12.0%,12.9%,11.8%,8.5%,14.3%,12.4%,15.8%,2.8%,12.4%,13.1%,6.7%
SAN PEDRO DE ATACAMA,basica,Total,100.0%,100.0%,0.0%,0.0%,100.0%,100.0%,100.0%,100.0%,0.0%,100.0%,100.0%,100.0%,0.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
SAN PEDRO DE LA PAZ,basica,Insuficiente,29.5%,37.4%,31.9%,13.5%,29.5%,29.5%,0.0%,29.5%,54.8%,49.7%,31.8%,18.7%,11.6%,29.5%,28.1%,31.0%,29.5%,28.9%,45.8%,29.5%,29.0%,41.2%,29.5%,24.3%,76.0%
SAN PEDRO DE LA PAZ,basica,Elemental,41.7%,45.3%,39.9%,45.3%,41.7%,41.7%,0.0%,41.7%,31.0%,32.0%,47.4%,46.5%,42.0%,41.7%,42.5%,40.9%,41.7%,42.0%,32.2%,41.7%,41.9%,35.3%,41.7%,44.0%,21.0%
SAN PEDRO DE LA PAZ,basica,Adecuado,28.8%,17.3%,28.2%,41.2%,28.8%,28.8%,0.0%,28.8%,14.3%,18.2%,20.8%,34.8%,46.5%,28.8%,29.4%,28.2%,28.8%,29.1%,22.0%,28.8%,29.0%,23.5%,28.8%,31.7%,3.0%
SAN PEDRO DE LA PAZ,basica,Total,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,0.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
SAN RAFAEL,basica,Insuficiente,50.8%,49.5%,55.6%,0.0%,50.8%,57.3%,37.2%,50.8%,85.7%,47.9%,51.7%,0.0%,0.0%,50.8%,42.4%,59.1%,51.1%,50.4%,100.0%,51.1%,51.1%,0.0%,51.1%,42.7%,95.2%
SAN RAFAEL,basica,Elemental,34.8%,35.2%,33.3%,0.0%,34.8%,33.7%,37.2%,34.8%,14.3%,35.4%,37.9%,0.0%,0.0%,34.8%,36.4%,33.3%,34.4%,34.9%,0.0%,34.4%,34.4%,0.0%,34.4%,40.0%,4.8%
SAN RAFAEL,basica,Adecuado,14.4%,15.2%,11.1%,0.0%,14.4%,9.0%,25.6%,14.4%,0.0%,16.7%,10.3%,0.0%,0.0%,14.4%,21.2%,7.6%,14.5%,14.7%,0.0%,14.5%,14.5%,0.0%,14.5%,17.3%,0.0%
SAN RAFAEL,basica,Total,100.0%,100.0%,100.0%,0.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,0.0%,0.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,0.0%,100.0%,100.0%,100.0%
SAN RAMÓN,basica,Insuficiente,37.4%,53.4%,34.3%,0.0%,37.4%,37.4%,0.0%,37.4%,74.2%,38.3%,34.9%,19.4%,0.0%,37.4%,31.5%,44.2%,37.3%,40.0%,16.0%,37.1%,35.5%,50.5%,37.1%,34.1%,66.3%
SAN RAMÓN,basica,Elemental,33.4%,34.2%,33.2%,0.0%,33.4%,33.4%,0.0%,33.4%,22.6%,36.8%,28.5%,47.2%,0.0%,33.4%,33.6%,33.1%,33.5%,34.2%,28.0%,33.5%,33.7%,32.3%,33.5%,33.9%,30.1%
SAN RAMÓN,basica,Adecuado,29.2%,12.3%,32.5%,0.0%,29.2%,29.2%,0.0%,29.2%,3.2%,24.9%,36.6%,33.3%,0.0%,29.2%,34.9%,22.7%,29.2%,25.8%,56.0%,29.3%,30.9%,17.2%,29.3%,32.0%,3.6%
SAN RAMÓN,basica,Total,100.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,100.0%,100.0%,100.0%,0.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
SAN ROSENDO,basica,Insuficiente,36.4%,36.4%,0.0%,0.0%,36.4%,37.5%,33.3%,36.4%,0.0%,100.0%,37.5%,0.0%,0.0%,36.4%,14.3%,75.0%,36.4%,40.0%,0.0%,36.4%,36.4%,0.0%,36.4%,33.3%,50.0%
SAN ROSENDO,basica,Elemental,54.5%,54.5%,0.0%,0.0%,54.5%,50.0%,66.7%,54.5%,100.0%,0.0%,50.0%,0.0%,0.0%,54.5%,71.4%,25.0%,54.5%,50.0%,100.0%,54.5%,54.5%,0.0%,54.5%,55.6%,50.0%
SAN ROSENDO,basica,Adecuado,9.1%,9.1%,0.0%,0.0%,9.1%,12.5%,0.0%,9.1%,0.0%,0.0%,12.5%,0.0%,0.0%,9.1%,14.3%,0.0%,9.1%,10.0%,0.0%,9.1%,9.1%,0.0%,9.1%,11.1%,0.0%
SAN ROSENDO,basica,Total,100.0%,100.0%,0.0%,0.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,0.0%,0.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,0.0%,100.0%,100.0%,100.0%
SAN VICENTE,basica,Insuficiente,38.7%,53.4%,28.0%,0.0%,38.7%,33.8%,54.5%,38.7%,68.4%,47.6%,37.5%,28.0%,0.0%,38.7%,32.5%,45.6%,38.7%,38.7%,40.0%,38.7%,38.6%,43.8%,38.7%,34.0%,75.0%
SAN VICENTE,basica,Elemental,41.6%,36.3%,45.5%,0.0%,41.6%,43.7%,34.8%,41.6%,21.1%,40.4%,46.9%,43.7%,0.0%,41.6%,44.2%,38.8%,41.6%,41.6%,40.0%,41.6%,41.4%,50.0%,41.6%,44.0%,23.4%
SAN VICENTE,basica,Adecuado,19.6%,10.3%,26.5%,0.0%,19.6%,22.5%,10.6%,19.6%,10.5%,12.0%,15.6%,28.3%,0.0%,19.6%,23.3%,15.6%,19.6%,19.6%,20.0%,19.6%,20.0%,6.3%,19.6%,22.0%,1.6%
SAN VICENTE,basica,Total,100.0%,100.0%,100.0%,0.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,0.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
SANTA BÁRBARA,basica,Insuficiente,36.6%,34.9%,38.8%,0.0%,36.6%,29.9%,52.2%,36.6%,33.3%,52.5%,15.5%,0.0%,0.0%,36.6%,35.1%,38.2%,36.6%,36.8%,35.3%,36.6%,36.6%,0.0%,36.6%,32.8%,59.1%
SANTA BÁRBARA,basica,Elemental,44.4%,46.5%,41.8%,0.0%,44.4%,49.5%,32.6%,44.4%,53.3%,30.0%,62.1%,0.0%,0.0%,44.4%,40.3%,48.7%,44.4%,44.9%,41.2%,44.4%,44.4%,0.0%,44.4%,45.8%,36.4%
SANTA BÁRBARA,basica,Adecuado,19.0%,18.6%,19.4%,0.0%,19.0%,20.6%,15.2%,19.0%,13.3%,17.5%,22.4%,0.0%,0.0%,19.0%,24.7%,13.2%,19.0%,18.4%,23.5%,19.0%,19.0%,0.0%,19.0%,21.4%,4.5%
SANTA BÁRBARA,basica,Total,100.0%,100.0%,100.0%,0.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,0.0%,0.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,0.0%,100.0%,100.0%,100.0%
SANTA CRUZ,basica,Insuficiente,25.8%,35.8%,23.0%,12.5%,25.8%,25.3%,28.7%,25.8%,39.4%,34.6%,18.4%,35.6%,12.5%,25.8%,18.8%,33.0%,25.9%,26.0%,0.0%,25.9%,25.5%,32.1%,25.9%,20.4%,62.9%
SANTA CRUZ,basica,Elemental,34.1%,43.4%,32.5%,14.6%,34.1%,32.3%,43.7%,34.1%,42.4%,40.9%,33.6%,33.3%,14.6%,34.1%,33.1%,35.2%,34.0%,33.8%,66.7%,34.0%,33.5%,42.9%,34.0%,35.0%,27.1%
SANTA CRUZ,basica,Adecuado,40.0%,20.8%,44.5%,72.9%,40.0%,42.4%,27.6%,40.0%,18.2%,24.4%,48.0%,31.1%,72.9%,40.0%,48.2%,31.9%,40.1%,40.1%,33.3%,40.1%,40.9%,25.0%,40.1%,44.6%,10.0%
SANTA CRUZ,basica,Total,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
SANTA JUANA,basica,Insuficiente,57.3%,55.8%,57.9%,0.0%,57.3%,57.0%,62.5%,57.3%,54.3%,57.1%,64.3%,41.7%,0.0%,57.3%,55.4%,59.2%,57.3%,57.4%,55.6%,57.3%,58.1%,0.0%,57.3%,53.7%,72.4%
SANTA JUANA,basica,Elemental,35.3%,34.9%,35.5%,0.0%,35.3%,35.9%,25.0%,35.3%,37.1%,28.6%,32.9%,45.8%,0.0%,35.3%,33.8%,36.8%,35.3%,34.8%,44.4%,35.3%,35.1%,50.0%,35.3%,39.7%,17.2%
SANTA JUANA,basica,Adecuado,7.3%,9.3%,6.5%,0.0%,7.3%,7.0%,12.5%,7.3%,8.6%,14.3%,2.9%,12.5%,0.0%,7.3%,10.8%,3.9%,7.3%,7.8%,0.0%,7.3%,6.8%,50.0%,7.3%,6.6%,10.3%
SANTA JUANA,basica,Total,100.0%,100.0%,100.0%,0.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,0.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
SANTA MARÍA,basica,Insuficiente,39.7%,49.1%,34.7%,0.0%,39.7%,33.3%,61.1%,39.7%,0.0%,44.0%,34.7%,0.0%,0.0%,39.7%,33.8%,46.1%,39.7%,39.7%,40.0%,39.7%,38.8%,75.0%,39.7%,37.1%,54.2%
SANTA MARÍA,basica,Elemental,47.4%,43.6%,49.5%,0.0%,47.4%,52.5%,30.6%,47.4%,0.0%,48.8%,45.8%,0.0%,0.0%,47.4%,51.3%,43.4%,47.4%,47.0%,60.0%,47.4%,48.7%,0.0%,47.4%,50.0%,33.3%
SANTA MARÍA,basica,Adecuado,12.8%,7.3%,15.8%,0.0%,12.8%,14.2%,8.3%,12.8%,0.0%,7.1%,19.4%,0.0%,0.0%,12.8%,15.0%,10.5%,12.8%,13.2%,0.0%,12.8%,12.5%,25.0%,12.8%,12.9%,12.5%
SANTA MARÍA,basica,Total,100.0%,100.0%,100.0%,0.0%,100.0%,100.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,0.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
SANTIAGO,basica,Insuficiente,35.4%,50.1%,32.0%,14.8%,35.4%,35.4%,0.0%,35.4%,0.0%,43.6%,45.7%,34.2%,14.8%,35.4%,31.1%,39.9%,35.3%,35.4%,29.7%,35.4%,31.4%,43.0%,35.4%,31.7%,76.0%
SANTIAGO,basica,Elemental,37.3%,34.0%,40.3%,34.5%,37.3%,37.3%,0.0%,37.3%,0.0%,32.5%,36.2%,39.4%,34.5%,37.3%,37.6%,37.1%,37.3%,37.3%,37.8%,37.4%,39.7%,33.0%,37.4%,38.9%,20.2%
SANTIAGO,basica,Adecuado,27.2%,15.9%,27.7%,50.7%,27.2%,27.2%,0.0%,27.2%,0.0%,23.9%,18.0%,26.5%,50.7%,27.2%,31.3%,23.1%,27.3%,27.3%,32.4%,27.3%,29.0%,24.0%,27.3%,29.4%,3.8%
SANTIAGO,basica,Total,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,0.0%,100.0%,0.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
SANTO DOMINGO,basica,Insuficiente,38.6%,36.4%,44.1%,25.0%,38.6%,43.3%,26.1%,38.6%,0.0%,40.9%,32.1%,63.3%,25.0%,38.6%,44.4%,34.0%,38.6%,38.4%,50.0%,38.6%,38.6%,37.5%,38.6%,33.6%,75.0%
SANTO DOMINGO,basica,Elemental,47.0%,49.5%,40.7%,62.5%,47.0%,43.3%,56.5%,47.0%,0.0%,40.9%,50.9%,33.3%,62.5%,47.0%,37.5%,54.3%,47.0%,47.0%,50.0%,47.0%,47.5%,37.5%,47.0%,51.4%,15.0%
SANTO DOMINGO,basica,Adecuado,14.5%,14.1%,15.3%,12.5%,14.5%,13.3%,17.4%,14.5%,0.0%,18.2%,17.0%,3.3%,12.5%,14.5%,18.1%,11.7%,14.5%,14.6%,0.0%,14.5%,13.9%,25.0%,14.5%,15.1%,10.0%
SANTO DOMINGO,basica,Total,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,0.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
SIERRA GORDA,basica,Insuficiente,57.7%,57.7%,0.0%,0.0%,57.7%,57.7%,0.0%,57.7%,0.0%,76.9%,38.5%,0.0%,0.0%,57.7%,46.2%,69.2%,62.5%,66.7%,33.3%,57.7%,64.3%,50.0%,57.7%,42.1%,100.0%
SIERRA GORDA,basica,Elemental,34.6%,34.6%,0.0%,0.0%,34.6%,34.6%,0.0%,34.6%,0.0%,23.1%,46.2%,0.0%,0.0%,34.6%,46.2%,23.1%,29.2%,28.6%,33.3%,34.6%,21.4%,50.0%,34.6%,47.4%,0.0%
SIERRA GORDA,basica,Adecuado,7.7%,7.7%,0.0%,0.0%,7.7%,7.7%,0.0%,7.7%,0.0%,0.0%,15.4%,0.0%,0.0%,7.7%,7.7%,7.7%,8.3%,4.8%,33.3%,7.7%,14.3%,0.0%,7.7%,10.5%,0.0%
SIERRA GORDA,basica,Total,100.0%,100.0%,0.0%,0.0%,100.0%,100.0%,0.0%,100.0%,0.0%,100.0%,100.0%,0.0%,0.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
TALAGANTE,basica,Insuficiente,29.5%,31.8%,35.1%,14.5%,29.5%,29.2%,50.0%,29.5%,31.6%,53.3%,29.5%,20.5%,14.5%,29.5%,27.0%,31.8%,29.5%,29.7%,18.2%,29.5%,29.1%,37.7%,29.5%,26.8%,68.9%
TALAGANTE,basica,Elemental,37.9%,37.1%,37.6%,39.8%,37.9%,38.1%,27.8%,37.9%,52.6%,34.2%,35.5%,43.4%,39.8%,37.9%,35.4%,40.2%,37.9%,37.8%,40.9%,37.9%,38.0%,35.8%,37.9%,38.8%,24.3%
TALAGANTE,basica,Adecuado,32.6%,31.1%,27.4%,45.7%,32.6%,32.8%,22.2%,32.6%,15.8%,12.5%,35.0%,36.1%,45.7%,32.6%,37.6%,28.0%,32.7%,32.5%,40.9%,32.6%,32.9%,26.4%,32.6%,34.4%,6.8%
TALAGANTE,basica,Total,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
TALCA,basica,Insuficiente,35.8%,46.5%,35.9%,10.2%,35.8%,35.4%,50.0%,35.8%,63.4%,50.8%,35.5%,27.3%,10.2%,35.8%,29.3%,42.5%,35.8%,35.6%,58.6%,35.8%,35.3%,41.0%,35.8%,30.6%,77.3%
TALCA,basica,Elemental,37.2%,35.3%,39.5%,33.0%,37.2%,37.3%,33.3%,37.2%,27.8%,34.1%,39.5%,43.1%,33.0%,37.2%,38.3%,36.0%,37.2%,37.2%,37.9%,37.2%,37.3%,36.0%,37.2%,39.4%,19.5%
TALCA,basica,Adecuado,27.0%,18.2%,24.6%,56.8%,27.0%,27.3%,16.7%,27.0%,8.8%,15.1%,25.0%,29.6%,56.8%,27.0%,32.4%,21.5%,27.0%,27.2%,3.4%,27.0%,27.4%,23.0%,27.0%,30.0%,3.2%
TALCA,basica,Total,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
TALCAHUANO,basica,Insuficiente,39.2%,50.3%,37.5%,6.2%,39.2%,39.1%,40.7%,39.2%,57.3%,49.6%,43.1%,36.5%,6.2%,39.2%,35.5%,42.9%,39.1%,39.2%,35.0%,39.2%,38.6%,50.8%,39.2%,33.0%,74.5%
TALCAHUANO,basica,Elemental,39.0%,34.6%,42.8%,29.2%,39.0%,38.9%,44.4%,39.0%,28.2%,34.0%,45.8%,41.2%,29.2%,39.0%,40.1%,37.9%,39.0%,39.0%,40.0%,39.0%,39.3%,32.8%,39.0%,42.0%,21.6%
TALCAHUANO,basica,Adecuado,21.8%,15.0%,19.8%,64.6%,21.8%,22.0%,14.8%,21.8%,14.6%,16.4%,11.1%,22.3%,64.6%,21.8%,24.4%,19.2%,21.9%,21.8%,25.0%,21.8%,22.1%,16.4%,21.8%,24.9%,3.8%
TALCAHUANO,basica,Total,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
TALTAL,basica,Insuficiente,50.7%,50.7%,0.0%,0.0%,50.7%,50.7%,0.0%,50.7%,0.0%,47.9%,56.0%,0.0%,0.0%,50.7%,48.6%,52.8%,50.7%,50.0%,100.0%,50.7%,50.4%,52.9%,50.7%,42.5%,91.7%
TALTAL,basica,Elemental,31.9%,31.9%,0.0%,0.0%,31.9%,31.9%,0.0%,31.9%,0.0%,30.9%,34.0%,0.0%,0.0%,31.9%,30.6%,33.3%,31.9%,32.4%,0.0%,31.9%,32.3%,29.4%,31.9%,36.7%,8.3%
TALTAL,basica,Adecuado,17.4%,17.4%,0.0%,0.0%,17.4%,17.4%,0.0%,17.4%,0.0%,21.3%,10.0%,0.0%,0.0%,17.4%,20.8%,13.9%,17.4%,17.6%,0.0%,17.4%,17.3%,17.6%,17.4%,20.8%,0.0%
TALTAL,basica,Total,100.0%,100.0%,0.0%,0.0%,100.0%,100.0%,0.0%,100.0%,0.0%,100.0%,100.0%,0.0%,0.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
TEMUCO,basica,Insuficiente,34.7%,40.3%,37.6%,10.0%,34.7%,34.2%,44.2%,34.7%,59.6%,50.3%,35.2%,34.2%,12.7%,34.7%,30.3%,39.4%,34.7%,32.3%,42.9%,34.7%,34.6%,36.6%,34.7%,29.5%,72.5%
TEMUCO,basica,Elemental,37.3%,38.3%,37.5%,34.6%,37.3%,37.2%,39.0%,37.3%,29.1%,34.8%,39.8%,40.7%,32.9%,37.3%,36.7%,38.0%,37.3%,37.6%,36.3%,37.3%,37.3%,37.6%,37.3%,39.4%,22.5%
TEMUCO,basica,Adecuado,28.0%,21.3%,25.0%,55.5%,28.0%,28.6%,16.9%,28.0%,11.2%,14.9%,25.0%,25.1%,54.4%,28.0%,33.1%,22.6%,28.0%,30.1%,20.8%,28.0%,28.1%,25.7%,28.0%,31.2%,5.0%
TEMUCO,basica,Total,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
TENO,basica,Insuficiente,39.9%,41.3%,32.6%,0.0%,39.9%,35.2%,41.5%,39.9%,43.8%,43.2%,17.1%,0.0%,0.0%,39.9%,35.2%,43.8%,40.1%,39.3%,80.0%,39.9%,38.8%,70.0%,39.9%,32.0%,71.4%
TENO,basica,Elemental,40.3%,41.7%,32.6%,0.0%,40.3%,36.6%,41.5%,40.3%,50.0%,39.6%,40.0%,0.0%,0.0%,40.3%,42.4%,38.6%,40.4%,41.2%,0.0%,40.3%,41.4%,10.0%,40.3%,44.6%,23.2%
TENO,basica,Adecuado,19.8%,17.0%,34.9%,0.0%,19.8%,28.2%,16.9%,19.8%,6.3%,17.2%,42.9%,0.0%,0.0%,19.8%,22.4%,17.6%,19.5%,19.5%,20.0%,19.8%,19.8%,20.0%,19.8%,23.4%,5.4%
TENO,basica,Total,100.0%,100.0%,100.0%,0.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,0.0%,0.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
TEODORO SCHMIDT,basica,Insuficiente,48.6%,40.8%,52.7%,0.0%,48.6%,43.6%,66.7%,48.6%,66.7%,37.3%,44.0%,0.0%,0.0%,48.6%,37.3%,58.9%,48.6%,42.7%,58.8%,48.6%,48.6%,50.0%,48.6%,42.7%,78.3%
TEODORO SCHMIDT,basica,Elemental,36.4%,40.8%,34.1%,0.0%,36.4%,40.9%,20.0%,36.4%,20.8%,47.8%,36.0%,0.0%,0.0%,36.4%,41.8%,31.5%,36.4%,44.9%,21.6%,36.4%,37.0%,0.0%,36.4%,41.0%,13.0%
TEODORO SCHMIDT,basica,Adecuado,15.0%,18.4%,13.2%,0.0%,15.0%,15.5%,13.3%,15.0%,12.5%,14.9%,20.0%,0.0%,0.0%,15.0%,20.9%,9.6%,15.0%,12.4%,19.6%,15.0%,14.5%,50.0%,15.0%,16.2%,8.7%
TEODORO SCHMIDT,basica,Total,100.0%,100.0%,100.0%,0.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,0.0%,0.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
TIERRA AMARILLA,basica,Insuficiente,27.3%,16.7%,40.0%,0.0%,27.3%,0.0%,27.3%,27.3%,0.0%,16.7%,40.0%,0.0%,0.0%,27.3%,16.7%,40.0%,27.3%,30.0%,0.0%,27.3%,33.3%,0.0%,27.3%,27.3%,0.0%
TIERRA AMARILLA,basica,Elemental,54.5%,66.7%,40.0%,0.0%,54.5%,0.0%,54.5%,54.5%,0.0%,66.7%,40.0%,0.0%,0.0%,54.5%,66.7%,40.0%,54.5%,60.0%,0.0%,54.5%,44.4%,100.0%,54.5%,54.5%,0.0%
TIERRA AMARILLA,basica,Adecuado,18.2%,16.7%,20.0%,0.0%,18.2%,0.0%,18.2%,18.2%,0.0%,16.7%,20.0%,0.0%,0.0%,18.2%,16.7%,20.0%,18.2%,10.0%,100.0%,18.2%,22.2%,0.0%,18.2%,18.2%,0.0%
TIERRA AMARILLA,basica,Total,100.0%,100.0%,100.0%,0.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,0.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,0.0%
TILTIL,basica,Insuficiente,55.7%,57.1%,54.8%,0.0%,55.7%,55.4%,56.5%,55.7%,0.0%,57.4%,61.5%,45.5%,0.0%,55.7%,47.0%,67.4%,55.7%,56.3%,0.0%,55.7%,54.9%,75.0%,55.7%,50.9%,81.3%
TILTIL,basica,Elemental,34.3%,31.2%,36.3%,0.0%,34.3%,36.0%,30.6%,34.3%,0.0%,30.9%,35.9%,36.4%,0.0%,34.3%,40.9%,25.6%,34.3%,33.7%,100.0%,34.3%,35.2%,12.5%,34.3%,37.3%,18.8%
