comuna,nivel,estandar,dep_tot,dep_pub,dep_sub,dep_pag,area_tot,area_urb,area_rur,gse_tot,gse_bajo,gse_medio_bajo,gse_medio,gse_medio_alto,gse_alto,gen_tot,gen_hom,gen_muj,etnia_tot,etnia_no,etnia_si,nac_tot,nac_cl,nac_ext,int_tot,int_no,int_si
BUIN,basica,Insuficiente,39.2%,56.9%,37.8%,10.1%,39.2%,36.7%,54.8%,39.2%,63.3%,53.6%,45.6%,13.0%,9.1%,39.2%,35.3%,43.2%,39.3%,38.8%,56.1%,39.2%,38.9%,45.7%,39.2%,34.8%,83.7%
BUIN,basica,Elemental,35.0%,33.2%,38.0%,33.0%,35.0%,34.9%,35.6%,35.0%,20.0%,33.4%,37.2%,45.7%,32.3%,35.0%,36.9%,33.0%,35.0%,35.2%,29.3%,35.0%,35.0%,34.3%,35.0%,37.2%,13.0%
BUIN,basica,Adecuado,25.8%,9.9%,24.1%,56.9%,25.8%,28.4%,9.6%,25.8%,16.7%,13.0%,17.1%,41.3%,58.6%,25.8%,27.8%,23.8%,25.7%,26.0%,14.6%,25.8%,26.1%,20.0%,25.8%,28.0%,3.3%
BUIN,basica,Total,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
BULNES,basica,Insuficiente,51.6%,49.6%,53.5%,0.0%,51.6%,49.2%,58.0%,51.6%,63.6%,47.9%,52.0%,0.0%,0.0%,51.6%,47.5%,55.6%,51.8%,52.7%,0.0%,51.6%,51.4%,100.0%,51.6%,46.0%,74.0%
BULNES,basica,Elemental,41.1%,43.8%,38.6%,0.0%,41.1%,41.9%,39.1%,41.1%,30.3%,44.4%,40.8%,0.0%,0.0%,41.1%,43.4%,38.9%,40.9%,40.3%,75.0%,41.1%,41.3%,0.0%,41.1%,45.5%,24.0%
BULNES,basica,Adecuado,7.3%,6.6%,7.9%,0.0%,7.3%,8.9%,2.9%,7.3%,6.1%,7.7%,7.1%,0.0%,0.0%,7.3%,9.0%,5.6%,7.3%,7.0%,25.0%,7.3%,7.3%,0.0%,7.3%,8.6%,2.0%
BULNES,basica,Total,100.0%,100.0%,100.0%,0.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,0.0%,0.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
CABILDO,basica,Insuficiente,47.3%,54.8%,33.3%,0.0%,47.3%,47.2%,47.8%,47.3%,70.0%,55.4%,42.0%,17.6%,0.0%,47.3%,41.6%,54.3%,47.3%,47.6%,0.0%,47.3%,46.2%,75.0%,47.3%,44.1%,67.9%
CABILDO,basica,Elemental,35.3%,29.6%,45.8%,0.0%,35.3%,34.8%,37.0%,35.3%,30.0%,29.3%,37.5%,58.8%,0.0%,35.3%,35.4%,35.1%,35.3%,35.4%,0.0%,35.3%,35.7%,25.0%,35.3%,36.9%,25.0%
