slep,nivel,estandar,dep_tot,dep_pub,dep_sub,dep_pag,area_tot,area_urb,area_rur,gse_tot,gse_bajo,gse_medio_bajo,gse_medio,gse_medio_alto,gse_alto,gen_tot,gen_hom,gen_muj,etnia_tot,etnia_no,etnia_si,nac_tot,nac_cl,nac_ext,int_tot,int_no,int_si
PUNILLA CORDILLERA,basica,Adecuado,23.7%,20.3%,27.7%,0.0%,23.7%,26.5%,17.7%,23.7%,22.3%,20.9%,26.1%,29.1%,0.0%,23.7%,25.9%,21.3%,23.6%,23.6%,25.0%,23.7%,23.7%,25.0%,23.7%,28.2%,4.6%
PUNILLA CORDILLERA,basica,Total,100.0%,100.0%,100.0%,0.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,0.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
COSTA ITATA,basica,Insuficiente,30.1%,30.6%,28.4%,0.0%,30.1%,28.8%,34.2%,30.1%,41.7%,38.1%,21.2%,7.9%,0.0%,30.1%,23.8%,35.9%,30.2%,30.1%,37.5%,30.2%,30.5%,0.0%,30.2%,22.7%,66.2%
COSTA ITATA,basica,Elemental,35.8%,34.7%,40.0%,0.0%,35.8%,36.3%,34.2%,35.8%,36.7%,33.3%,37.7%,42.1%,0.0%,35.8%,37.0%,34.7%,35.7%,35.6%,50.0%,35.7%,35.7%,33.3%,35.7%,37.7%,26.2%
COSTA ITATA,basica,Adecuado,34.1%,34.7%,31.6%,0.0%,34.1%,34.9%,31.5%,34.1%,21.7%,28.6%,41.1%,50.0%,0.0%,34.1%,39.2%,29.4%,34.1%,34.4%,12.5%,34.1%,33.7%,66.7%,34.1%,39.6%,7.7%
COSTA ITATA,basica,Total,100.0%,100.0%,100.0%,0.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,0.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
ANDALIÉN SUR,basica,Insuficiente,31.6%,47.4%,29.7%,17.9%,31.6%,31.3%,42.3%,31.6%,68.8%,47.5%,31.3%,30.4%,17.4%,31.6%,27.3%,35.8%,31.6%,31.5%,40.8%,31.5%,30.9%,40.7%,31.5%,26.4%,66.3%
ANDALIÉN SUR,basica,Elemental,42.1%,36.4%,43.5%,43.8%,42.1%,42.1%,42.3%,42.1%,23.4%,37.0%,41.7%,43.4%,46.7%,42.1%,42.9%,41.3%,42.1%,42.1%,44.9%,42.2%,42.5%,36.6%,42.2%,44.2%,28.0%
ANDALIÉN SUR,basica,Adecuado,26.3%,16.3%,26.8%,38.3%,26.3%,26.6%,15.5%,26.3%,7.8%,15.6%,27.0%,26.2%,35.9%,26.3%,29.7%,22.9%,26.3%,26.5%,14.3%,26.3%,26.5%,22.7%,26.3%,29.4%,5.7%
ANDALIÉN SUR,basica,Total,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
PUELCHE,basica,Insuficiente,46.7%,44.8%,51.7%,0.0%,46.7%,41.0%,64.5%,46.7%,58.2%,47.3%,40.2%,0.0%,0.0%,46.7%,40.3%,53.2%,46.6%,43.4%,68.0%,46.7%,46.7%,50.0%,46.7%,39.9%,76.1%
PUELCHE,basica,Elemental,35.8%,35.2%,37.7%,0.0%,35.8%,38.9%,26.2%,35.8%,29.5%,34.5%,41.0%,0.0%,0.0%,35.8%,37.6%,34.0%,35.9%,37.7%,23.7%,35.8%,35.8%,50.0%,35.8%,38.9%,22.5%
PUELCHE,basica,Adecuado,17.5%,20.0%,10.6%,0.0%,17.5%,20.1%,9.3%,17.5%,12.3%,18.3%,18.7%,0.0%,0.0%,17.5%,22.1%,12.8%,17.5%,18.9%,8.2%,17.5%,17.6%,0.0%,17.5%,21.2%,1.4%
PUELCHE,basica,Total,100.0%,100.0%,100.0%,0.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,0.0%,0.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
ARAUCO NORTE,basica,Insuficiente,43.0%,46.3%,37.0%,0.0%,43.0%,42.8%,43.9%,43.0%,55.4%,43.4%,42.0%,28.6%,0.0%,43.0%,38.3%,47.3%,43.0%,41.9%,48.3%,43.0%,43.0%,43.8%,43.0%,36.5%,79.0%
ARAUCO NORTE,basica,Elemental,35.9%,35.3%,39.4%,22.2%,35.9%,35.6%,38.2%,35.9%,34.2%,38.2%,36.0%,37.1%,22.2%,35.9%,37.2%,34.8%,35.9%,36.1%,35.4%,35.9%,36.2%,18.8%,35.9%,39.9%,13.8%
ARAUCO NORTE,basica,Adecuado,21.1%,18.4%,23.6%,77.8%,21.1%,21.6%,17.8%,21.1%,10.4%,18.4%,22.0%,34.3%,77.8%,21.1%,24.4%,17.9%,21.1%,22.0%,16.3%,21.1%,20.8%,37.5%,21.1%,23.6%,7.2%
ARAUCO NORTE,basica,Total,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
ARAUCO SUR,basica,Insuficiente,46.5%,49.5%,42.4%,0.0%,46.5%,37.9%,54.0%,46.5%,62.5%,47.8%,27.5%,15.7%,0.0%,46.5%,39.2%,52.6%,46.6%,43.5%,52.4%,46.5%,46.5%,25.0%,46.5%,38.2%,82.9%
ARAUCO SUR,basica,Elemental,33.8%,34.4%,33.1%,0.0%,33.8%,36.0%,31.9%,33.8%,26.5%,36.5%,43.8%,35.5%,0.0%,33.8%,35.4%,32.5%,33.7%,33.9%,33.1%,33.8%,33.6%,75.0%,33.8%,38.2%,14.7%
ARAUCO SUR,basica,Adecuado,19.7%,16.1%,24.5%,0.0%,19.7%,26.2%,14.1%,19.7%,11.0%,15.8%,28.8%,48.8%,0.0%,19.7%,25.4%,14.9%,19.8%,22.5%,14.5%,19.7%,19.8%,0.0%,19.7%,23.7%,2.4%
ARAUCO SUR,basica,Total,100.0%,100.0%,100.0%,0.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,0.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
ANDALIÉN COSTA,basica,Insuficiente,38.8%,50.4%,37.7%,13.5%,38.8%,38.6%,53.1%,38.8%,61.3%,51.2%,39.4%,25.7%,11.4%,38.8%,35.4%,42.2%,38.8%,38.5%,45.0%,38.8%,38.5%,47.2%,38.8%,32.8%,78.1%
ANDALIÉN COSTA,basica,Elemental,40.2%,37.7%,40.5%,45.3%,40.2%,40.4%,28.6%,40.2%,28.7%,35.5%,43.3%,45.7%,42.0%,40.2%,40.9%,39.5%,40.2%,40.2%,40.0%,40.2%,40.4%,33.0%,40.2%,43.4%,19.4%
ANDALIÉN COSTA,basica,Adecuado,21.0%,11.9%,21.8%,41.2%,21.0%,21.0%,18.4%,21.0%,9.9%,13.2%,17.3%,28.6%,46.6%,21.0%,23.7%,18.3%,21.0%,21.3%,15.0%,21.0%,21.0%,19.8%,21.0%,23.8%,2.6%
ANDALIÉN COSTA,basica,Total,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
VALLE BIOBÍO,basica,Insuficiente,31.8%,28.5%,37.1%,0.0%,31.8%,32.6%,24.6%,31.8%,31.0%,36.2%,33.1%,20.0%,0.0%,31.8%,27.1%,36.3%,31.8%,31.4%,43.5%,31.8%,31.8%,40.0%,31.8%,26.7%,61.5%
VALLE BIOBÍO,basica,Elemental,42.7%,42.7%,42.6%,0.0%,42.7%,42.3%,46.2%,42.7%,52.4%,39.7%,39.1%,53.6%,0.0%,42.7%,44.3%,41.1%,42.7%,42.8%,39.1%,42.7%,42.7%,40.0%,42.7%,44.8%,30.2%
VALLE BIOBÍO,basica,Adecuado,25.5%,28.8%,20.3%,0.0%,25.5%,25.1%,29.2%,25.5%,16.7%,24.0%,27.8%,26.4%,0.0%,25.5%,28.7%,22.5%,25.5%,25.8%,17.4%,25.5%,25.5%,20.0%,25.5%,28.5%,8.3%
VALLE BIOBÍO,basica,Total,100.0%,100.0%,100.0%,0.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,0.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
LOS COPIHUES,basica,Insuficiente,35.6%,43.3%,34.2%,12.7%,35.6%,34.7%,40.2%,35.6%,50.5%,40.1%,40.3%,23.6%,12.7%,35.6%,30.9%,40.6%,35.6%,35.6%,36.2%,35.5%,35.5%,36.8%,35.5%,29.9%,74.0%
LOS COPIHUES,basica,Elemental,38.9%,38.5%,40.1%,30.2%,38.9%,39.0%,38.7%,38.9%,37.5%,38.6%,40.4%,40.7%,30.2%,38.9%,39.5%,38.4%,38.9%,38.9%,39.7%,38.9%,39.0%,36.8%,38.9%,41.2%,23.1%
LOS COPIHUES,basica,Adecuado,25.5%,18.3%,25.7%,57.1%,25.5%,26.3%,21.1%,25.5%,12.1%,21.3%,19.4%,35.8%,57.1%,25.5%,29.6%,21.0%,25.5%,25.5%,24.1%,25.5%,25.5%,26.3%,25.5%,28.8%,2.9%
LOS COPIHUES,basica,Total,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
LAS CALETAS,basica,Insuficiente,37.4%,44.3%,35.7%,7.6%,37.4%,37.2%,41.9%,37.4%,52.5%,43.0%,38.9%,35.3%,7.6%,37.4%,32.7%,42.0%,37.3%,37.4%,35.9%,37.4%,37.0%,47.7%,37.4%,31.0%,72.1%
LAS CALETAS,basica,Elemental,39.6%,37.3%,42.5%,33.3%,39.6%,39.6%,39.0%,39.6%,33.0%,38.0%,41.6%,41.3%,33.3%,39.6%,40.7%,38.4%,39.5%,39.5%,43.8%,39.6%,39.7%,34.9%,39.6%,42.4%,24.0%
LAS CALETAS,basica,Adecuado,23.1%,18.4%,21.8%,59.1%,23.1%,23.2%,19.0%,23.1%,14.5%,19.0%,19.5%,23.4%,59.1%,23.1%,26.5%,19.7%,23.1%,23.2%,20.3%,23.1%,23.3%,17.4%,23.1%,26.6%,3.9%
LAS CALETAS,basica,Total,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
MALLECO COSTA,basica,Insuficiente,37.8%,39.2%,37.4%,4.3%,37.8%,35.3%,60.3%,37.8%,55.1%,39.6%,23.9%,24.7%,4.3%,37.8%,31.7%,43.9%,37.7%,35.3%,45.8%,37.8%,38.1%,9.1%,37.8%,31.5%,69.4%
MALLECO COSTA,basica,Elemental,37.3%,35.9%,39.7%,26.1%,37.3%,38.1%,30.2%,37.3%,31.5%,38.5%,40.1%,46.9%,26.1%,37.3%,38.5%,36.1%,37.4%,38.6%,33.3%,37.3%,37.2%,54.5%,37.3%,39.6%,25.8%
MALLECO COSTA,basica,Adecuado,24.9%,24.9%,23.0%,69.6%,24.9%,26.6%,9.5%,24.9%,13.4%,21.9%,36.0%,28.4%,69.6%,24.9%,29.8%,20.0%,24.9%,26.1%,20.8%,24.9%,24.8%,36.4%,24.9%,28.9%,4.8%
MALLECO COSTA,basica,Total,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
COSTA ARAUCANÍA,basica,Insuficiente,50.5%,49.9%,50.9%,0.0%,50.5%,45.3%,61.7%,50.5%,65.7%,46.2%,42.1%,0.0%,0.0%,50.5%,44.1%,57.1%,50.4%,45.4%,54.6%,50.5%,50.5%,50.0%,50.5%,42.3%,78.9%
COSTA ARAUCANÍA,basica,Elemental,36.1%,36.7%,35.8%,0.0%,36.1%,38.1%,31.8%,36.1%,28.9%,39.6%,38.3%,0.0%,0.0%,36.1%,39.4%,32.7%,36.2%,38.8%,34.0%,36.1%,36.2%,16.7%,36.1%,41.1%,18.8%
COSTA ARAUCANÍA,basica,Adecuado,13.4%,13.5%,13.3%,0.0%,13.4%,16.6%,6.5%,13.4%,5.4%,14.2%,19.6%,0.0%,0.0%,13.4%,16.5%,10.2%,13.4%,15.9%,11.3%,13.4%,13.3%,33.3%,13.4%,16.6%,2.3%
COSTA ARAUCANÍA,basica,Total,100.0%,100.0%,100.0%,0.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,0.0%,0.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
MALLECO CORDILLERA,basica,Insuficiente,50.5%,51.5%,49.0%,0.0%,50.5%,46.8%,63.2%,50.5%,64.2%,47.6%,42.3%,39.4%,0.0%,50.5%,44.0%,57.3%,50.4%,46.1%,58.7%,50.5%,50.4%,57.1%,50.5%,44.8%,74.5%
MALLECO CORDILLERA,basica,Elemental,34.5%,34.5%,34.6%,0.0%,34.5%,36.5%,27.7%,34.5%,29.1%,33.7%,40.7%,37.0%,0.0%,34.5%,38.3%,30.6%,34.6%,36.0%,31.8%,34.5%,34.6%,28.6%,34.5%,37.9%,20.2%
MALLECO CORDILLERA,basica,Adecuado,15.0%,14.0%,16.4%,0.0%,15.0%,16.7%,9.1%,15.0%,6.7%,18.7%,17.0%,23.6%,0.0%,15.0%,17.7%,12.1%,15.0%,17.9%,9.5%,15.0%,15.0%,14.3%,15.0%,17.3%,5.3%
MALLECO CORDILLERA,basica,Total,100.0%,100.0%,100.0%,0.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,0.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
CAUTÍN NORTE,basica,Insuficiente,38.0%,39.4%,41.7%,10.0%,38.0%,35.0%,57.8%,38.0%,60.3%,48.4%,35.3%,35.4%,12.7%,38.0%,32.8%,43.4%,38.0%,33.8%,48.5%,38.0%,38.0%,36.5%,38.0%,31.9%,75.9%
CAUTÍN NORTE,basica,Elemental,36.8%,38.3%,36.4%,34.6%,36.8%,37.4%,32.5%,36.8%,28.2%,35.9%,40.0%,40.2%,32.9%,36.8%,36.9%,36.7%,36.8%,37.6%,34.7%,36.8%,36.8%,36.5%,36.8%,39.6%,19.2%
CAUTÍN NORTE,basica,Adecuado,25.2%,22.3%,21.9%,55.5%,25.2%,27.6%,9.7%,25.2%,11.6%,15.6%,24.7%,24.4%,54.4%,25.2%,30.3%,19.9%,25.2%,28.5%,16.8%,25.2%,25.2%,26.9%,25.2%,28.5%,4.9%
CAUTÍN NORTE,basica,Total,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
CAUTÍN SUR,basica,Insuficiente,44.2%,46.9%,43.9%,7.7%,44.2%,40.8%,52.5%,44.2%,56.7%,47.2%,40.5%,30.9%,10.1%,44.2%,38.7%,49.7%,44.3%,40.8%,51.5%,44.2%,44.3%,42.1%,44.2%,36.6%,75.1%
CAUTÍN SUR,basica,Elemental,37.8%,36.8%,38.3%,34.6%,37.8%,39.1%,34.7%,37.8%,31.0%,36.7%,41.1%,43.6%,34.2%,37.8%,40.5%,35.1%,37.7%,39.2%,34.6%,37.8%,37.9%,28.9%,37.8%,42.0%,20.7%
CAUTÍN SUR,basica,Adecuado,18.0%,16.3%,17.7%,57.7%,18.0%,20.1%,12.8%,18.0%,12.3%,16.1%,18.4%,25.5%,55.7%,18.0%,20.7%,15.2%,18.0%,20.0%,13.9%,18.0%,17.8%,28.9%,18.0%,21.3%,4.3%
CAUTÍN SUR,basica,Total,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
RANCO,basica,Insuficiente,41.3%,43.9%,40.0%,9.4%,41.3%,37.5%,48.9%,41.3%,52.7%,44.6%,36.6%,31.1%,9.4%,41.3%,34.9%,48.0%,41.3%,38.4%,49.8%,41.3%,41.4%,33.3%,41.3%,34.6%,79.4%
RANCO,basica,Elemental,39.3%,37.5%,42.2%,37.5%,39.3%,41.5%,35.1%,39.3%,33.8%,40.7%,37.3%,46.6%,37.5%,39.3%,40.6%,38.0%,39.3%,40.9%,34.8%,39.3%,39.3%,44.4%,39.3%,43.2%,17.5%
RANCO,basica,Adecuado,19.3%,18.6%,17.8%,53.1%,19.3%,21.0%,16.0%,19.3%,13.5%,14.8%,26.1%,22.3%,53.1%,19.3%,24.4%,14.0%,19.3%,20.7%,15.4%,19.3%,19.3%,22.2%,19.3%,22.2%,3.1%
RANCO,basica,Total,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
VALDIVIA,basica,Insuficiente,42.1%,47.5%,42.7%,10.0%,42.1%,39.2%,56.4%,42.1%,57.8%,54.3%,38.8%,33.9%,15.0%,42.1%,35.7%,48.6%,42.2%,40.0%,52.5%,42.1%,42.3%,34.0%,42.1%,35.0%,80.8%
VALDIVIA,basica,Elemental,37.8%,37.3%,39.5%,28.4%,37.8%,38.9%,32.6%,37.8%,35.3%,34.8%,40.0%,44.6%,32.0%,37.8%,40.5%,35.2%,37.8%,38.7%,33.5%,37.9%,37.9%,35.8%,37.9%,41.5%,17.9%
VALDIVIA,basica,Adecuado,20.0%,15.2%,17.8%,61.6%,20.0%,21.9%,10.9%,20.0%,6.9%,11.0%,21.2%,21.5%,53.0%,20.0%,23.8%,16.2%,20.0%,21.3%,14.0%,20.0%,19.8%,30.2%,20.0%,23.5%,1.2%
VALDIVIA,basica,Total,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
LLANQUIHUE,basica,Insuficiente,38.2%,47.1%,46.2%,9.3%,38.2%,35.9%,45.5%,38.2%,55.4%,48.8%,43.0%,36.3%,9.3%,38.2%,35.4%,40.8%,38.2%,36.6%,45.6%,38.2%,37.8%,51.2%,38.2%,33.8%,78.6%
LLANQUIHUE,basica,Elemental,39.1%,38.3%,36.4%,45.0%,39.1%,39.8%,36.8%,39.1%,34.9%,38.1%,36.3%,42.9%,45.0%,39.1%,39.5%,38.8%,39.2%,39.7%,37.1%,39.1%,39.4%,29.3%,39.1%,41.3%,19.3%
LLANQUIHUE,basica,Adecuado,22.7%,14.6%,17.4%,45.7%,22.7%,24.2%,17.7%,22.7%,9.6%,13.1%,20.7%,20.9%,45.7%,22.7%,25.1%,20.4%,22.6%,23.7%,17.3%,22.7%,22.8%,19.5%,22.7%,24.9%,2.1%
LLANQUIHUE,basica,Total,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
CHILOÉ,basica,Insuficiente,41.1%,46.6%,36.2%,0.0%,41.1%,41.0%,41.4%,41.1%,57.5%,46.1%,37.0%,20.6%,13.4%,41.1%,34.6%,47.6%,41.1%,36.6%,52.1%,41.1%,40.4%,63.6%,41.1%,33.4%,73.1%
CHILOÉ,basica,Elemental,39.8%,37.4%,42.0%,0.0%,39.8%,39.3%,41.4%,39.8%,32.7%,38.0%,43.2%,46.9%,42.7%,39.8%,43.1%,36.5%,39.8%,41.5%,35.4%,39.8%,40.2%,27.3%,39.8%,43.5%,24.3%
CHILOÉ,basica,Adecuado,19.1%,16.1%,21.9%,0.0%,19.1%,19.7%,17.2%,19.1%,9.8%,15.9%,19.8%,32.5%,43.9%,19.1%,22.4%,15.9%,19.2%,21.9%,12.5%,19.1%,19.5%,9.1%,19.1%,23.1%,2.6%
CHILOÉ,basica,Total,100.0%,100.0%,100.0%,0.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
OSORNO,basica,Insuficiente,39.1%,44.9%,40.3%,13.9%,39.1%,37.0%,49.9%,39.1%,58.0%,47.9%,37.0%,29.3%,13.9%,39.1%,34.6%,43.8%,39.1%,36.6%,46.1%,39.1%,39.3%,26.5%,39.1%,34.1%,74.8%
OSORNO,basica,Elemental,38.7%,36.0%,40.3%,39.4%,38.7%,39.2%,36.4%,38.7%,33.7%,36.5%,41.2%,41.4%,39.4%,38.7%,39.9%,37.5%,38.8%,38.6%,39.3%,38.7%,38.6%,50.0%,38.7%,41.3%,20.6%
OSORNO,basica,Adecuado,22.1%,19.1%,19.4%,46.7%,22.1%,23.8%,13.7%,22.1%,8.3%,15.6%,21.8%,29.3%,46.7%,22.1%,25.6%,18.6%,22.2%,24.8%,14.7%,22.1%,22.1%,23.5%,22.1%,24.6%,4.6%
OSORNO,basica,Total,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
RELONCAVÍ,basica,Insuficiente,38.8%,47.9%,35.8%,11.7%,38.8%,37.3%,45.1%,38.8%,53.4%,48.1%,35.3%,32.0%,18.4%,38.8%,34.9%,42.7%,38.9%,36.8%,47.4%,38.8%,39.0%,35.1%,38.8%,34.0%,77.3%
RELONCAVÍ,basica,Elemental,40.6%,36.1%,44.5%,36.8%,40.6%,41.4%,37.3%,40.6%,35.7%,36.8%,42.7%,50.8%,37.7%,40.6%,41.3%,39.8%,40.6%,41.0%,38.9%,40.6%,40.4%,44.3%,40.6%,43.2%,19.1%
RELONCAVÍ,basica,Adecuado,20.6%,16.0%,19.7%,51.5%,20.6%,21.4%,17.6%,20.6%,10.9%,15.1%,21.9%,17.2%,44.0%,20.6%,23.7%,17.5%,20.5%,22.2%,13.7%,20.6%,20.6%,20.6%,20.6%,22.7%,3.6%
RELONCAVÍ,basica,Total,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
AYSÉN,basica,Insuficiente,42.3%,46.9%,38.9%,0.0%,42.3%,42.3%,42.7%,42.3%,50.0%,57.7%,41.7%,28.5%,31.3%,42.3%,35.7%,48.7%,42.4%,41.2%,48.5%,42.4%,42.3%,48.3%,42.4%,34.2%,83.2%
AYSÉN,basica,Elemental,39.8%,37.2%,41.7%,0.0%,39.8%,39.5%,41.1%,39.8%,34.7%,31.2%,41.9%,45.1%,43.8%,39.8%,43.0%,36.7%,39.7%,40.1%,37.7%,39.8%,39.7%,41.4%,39.8%,44.9%,14.3%
AYSÉN,basica,Adecuado,17.9%,15.9%,19.4%,0.0%,17.9%,18.2%,16.1%,17.9%,15.3%,11.1%,16.4%,26.4%,25.0%,17.9%,21.3%,14.6%,17.8%,18.7%,13.7%,17.8%,18.0%,10.3%,17.8%,20.9%,2.6%
AYSÉN,basica,Total,100.0%,100.0%,100.0%,0.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
MAGALLANES,basica,Insuficiente,36.5%,48.2%,28.9%,20.0%,36.5%,36.4%,54.5%,36.5%,36.4%,49.2%,46.2%,27.7%,20.9%,36.5%,32.7%,40.2%,36.4%,34.2%,48.9%,36.4%,35.6%,48.7%,36.4%,31.8%,77.1%
MAGALLANES,basica,Elemental,41.0%,37.4%,45.0%,42.3%,41.0%,41.0%,27.3%,41.0%,45.5%,37.1%,37.1%,46.1%,42.7%,41.0%,41.9%,40.1%,41.1%,42.1%,35.3%,41.0%,41.0%,39.8%,41.0%,43.2%,21.3%
MAGALLANES,basica,Adecuado,22.6%,14.4%,26.1%,37.7%,22.6%,22.6%,18.2%,22.6%,18.2%,13.7%,16.7%,26.1%,36.4%,22.6%,25.4%,19.8%,22.5%,23.7%,15.8%,22.6%,23.3%,11.5%,22.6%,25.0%,1.6%
MAGALLANES,basica,Total,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
TODAS,basica,Insuficiente,37.8%,46.4%,37.7%,12.8%,37.8%,36.9%,46.8%,37.8%,56.7%,47.9%,39.5%,29.0%,13.3%,37.8%,32.8%,42.8%,37.8%,37.1%,46.6%,37.8%,37.2%,45.0%,37.8%,33.3%,75.9%
TODAS,basica,Elemental,38.1%,36.1%,39.7%,36.1%,38.1%,38.2%,36.7%,38.1%,31.6%,36.0%,39.3%,42.3%,36.6%,38.1%,39.2%,36.9%,38.1%,38.2%,36.7%,38.1%,38.3%,35.2%,38.1%,40.2%,20.3%
TODAS,basica,Adecuado,24.1%,17.5%,22.6%,51.1%,24.1%,24.9%,16.5%,24.1%,11.6%,16.1%,21.2%,28.7%,50.0%,24.1%,28.0%,20.2%,24.1%,24.7%,16.8%,24.1%,24.5%,19.9%,24.1%,26.6%,3.9%
TODAS,basica,Total,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
CHINCHORRO,media,Insuficiente,47.2%,57.5%,43.2%,22.2%,47.2%,46.2%,75.3%,47.2%,74.1%,67.1%,39.3%,35.0%,22.2%,47.2%,44.0%,50.6%,47.2%,46.9%,48.0%,47.2%,45.8%,57.5%,47.2%,45.1%,79.6%
CHINCHORRO,media,Elemental,32.1%,29.2%,33.4%,38.1%,32.1%,32.5%,20.0%,32.1%,21.5%,28.1%,34.5%,36.3%,38.1%,32.1%,33.1%,31.1%,32.1%,32.4%,31.3%,32.1%,33.0%,25.2%,32.1%,33.1%,17.2%
