slep,nivel,estandar,dep_tot,dep_pub,dep_sub,dep_pag,area_tot,area_urb,area_rur,gse_tot,gse_bajo,gse_medio_bajo,gse_medio,gse_medio_alto,gse_alto,gen_tot,gen_hom,gen_muj,etnia_tot,etnia_no,etnia_si,nac_tot,nac_cl,nac_ext,int_tot,int_no,int_si
ELQUI,basica,Total,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
PUERTO CORDILLERA,basica,Insuficiente,40.3%,47.3%,38.1%,31.6%,40.3%,39.9%,49.2%,40.3%,48.5%,51.2%,36.8%,25.2%,31.6%,40.3%,34.5%,46.3%,40.3%,40.2%,47.6%,40.3%,39.6%,53.6%,40.3%,35.5%,76.5%
PUERTO CORDILLERA,basica,Elemental,37.7%,35.9%,38.5%,36.7%,37.7%,37.8%,34.6%,37.7%,37.7%,34.0%,39.1%,42.7%,36.7%,37.7%,39.2%,36.0%,37.7%,37.8%,33.3%,37.7%,38.1%,28.8%,37.7%,40.3%,17.9%
PUERTO CORDILLERA,basica,Adecuado,22.0%,16.8%,23.4%,31.6%,22.0%,22.3%,16.2%,22.0%,13.8%,14.8%,24.1%,32.1%,31.6%,22.0%,26.2%,17.6%,22.0%,22.0%,19.0%,22.0%,22.3%,17.6%,22.0%,24.2%,5.6%
PUERTO CORDILLERA,basica,Total,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
LIMARÍ,basica,Insuficiente,40.3%,43.5%,35.8%,29.8%,40.3%,38.5%,47.6%,40.3%,53.1%,46.0%,34.1%,25.8%,17.5%,40.3%,35.2%,45.7%,40.0%,39.8%,45.7%,40.3%,40.0%,50.8%,40.3%,34.8%,74.6%
LIMARÍ,basica,Elemental,37.3%,35.4%,39.9%,44.0%,37.3%,38.0%,34.6%,37.3%,31.9%,35.0%,40.5%,43.6%,35.0%,37.3%,38.9%,35.7%,37.5%,37.8%,30.4%,37.3%,37.4%,35.6%,37.3%,40.3%,18.5%
LIMARÍ,basica,Adecuado,22.4%,21.0%,24.3%,26.2%,22.4%,23.5%,17.8%,22.4%,15.0%,19.1%,25.3%,30.5%,47.5%,22.4%,25.9%,18.6%,22.5%,22.4%,23.9%,22.4%,22.6%,13.6%,22.4%,24.8%,6.9%
LIMARÍ,basica,Total,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
CHOAPA,basica,Insuficiente,52.7%,57.2%,47.8%,0.0%,52.7%,51.8%,55.6%,52.7%,68.8%,59.2%,48.6%,43.7%,0.0%,52.7%,50.8%,54.7%,52.7%,52.3%,75.0%,52.7%,52.4%,60.0%,52.7%,47.3%,82.8%
CHOAPA,basica,Elemental,36.7%,32.3%,41.5%,0.0%,36.7%,37.4%,34.2%,36.7%,21.5%,32.9%,39.8%,43.1%,0.0%,36.7%,35.4%,37.9%,36.6%,36.9%,20.0%,36.7%,36.8%,34.0%,36.7%,40.4%,16.0%
CHOAPA,basica,Adecuado,10.6%,10.6%,10.7%,0.0%,10.6%,10.8%,10.1%,10.6%,9.7%,7.9%,11.7%,13.2%,0.0%,10.6%,13.8%,7.5%,10.6%,10.7%,5.0%,10.6%,10.8%,6.0%,10.6%,12.3%,1.2%
CHOAPA,basica,Total,100.0%,100.0%,100.0%,0.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,0.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
VALPARAÍSO,basica,Insuficiente,45.2%,58.0%,45.4%,15.1%,45.2%,45.1%,77.8%,45.2%,66.1%,58.4%,48.0%,31.7%,13.9%,45.2%,41.0%,49.4%,45.2%,45.2%,50.0%,45.2%,45.1%,48.5%,45.2%,41.4%,83.0%
